source_name	source_qid	parity	target_name	target_qid	target_uid	reason	witness	
Downingia ornatissima	gbif:3166298	-	Downingia ornatissima var. eximia	ncbi:136368	1065891	noinfo	null

Downingia bicornuta	gbif:3166317	=>	Downingia bicornuta	ncbi:100713	645471	same/primary-name	Downingia bicornuta
Downingia bicornuta	gbif:3166317	-	Downingia bicornuta var. picta	ncbi:104595	149508	noinfo	null

Roella spicata	gbif:3166977	=>	Roella spicata	ncbi:1348700	3892317	same/primary-name	Roella spicata
Roella spicata	gbif:3166977	-	Roella prostrata	ncbi:1348696	3892310	noinfo	null

Stylidium graminifolium	gbif:7334893	=>	Stylidium graminifolium	ncbi:28497	729879	same/primary-name	Stylidium graminifolium
Stylidium graminifolium	gbif:7334893	-	Stylidium majus	ncbi:213842	774478	noinfo	null

Melampodium divaricatum	gbif:8683215	=>	Melampodium divaricatum	ncbi:176609	481300	same/primary-name	Melampodium divaricatum
Melampodium divaricatum	gbif:8683215	-	Melampodium paludosum	ncbi:415156	608330	noinfo	null

Othonna	gbif:3094357	=>	Othonna	ncbi:109566	518548	same/primary-name	Othonna
Othonna	gbif:3094357	-	Hertia	ncbi:379124	41021	noinfo	null

Athanasia	gbif:3114273	=>	Athanasia	ncbi:99033	472694	same/primary-name	Athanasia
Athanasia	gbif:3114273	-	Asaemia	ncbi:378862	617345	noinfo	null

Steviopsis	gbif:3144047	=>	Steviopsis	ncbi:1193825	833849	same/primary-name	Steviopsis
Steviopsis	gbif:3144047	-	Brickelliastrum	ncbi:1193817	47631	noinfo	null

Aequatorium	gbif:3092044	=>	Aequatorium	ncbi:462378	774367	same/primary-name	Aequatorium
Aequatorium	gbif:3092044	-	Nordenstamia	ncbi:462473	401908	noinfo	null

Glossocardia	gbif:3101340	=>	Glossocardia	ncbi:1231646	4728158	same/primary-name	Glossocardia
Glossocardia	gbif:3101340	-	Glossogyne	ncbi:260271	82117	noinfo	null

Espeletia	gbif:3105048	=>	Espeletia	ncbi:185152	111373	same/primary-name	Espeletia
Espeletia	gbif:3105048	-	Tamania	ncbi:185203	550170	noinfo	null

Helipterum	gbif:3143206	=>	Helipterum	ncbi:1231666	4727435	same/primary-name	Helipterum
Helipterum	gbif:3143206	-	Anemocarpa	ncbi:125649	691931	noinfo	null

Gibbaria	gbif:3121995	=>	Gibbaria	ncbi:378868	617366	same/primary-name	Gibbaria
Gibbaria	gbif:3121995	-	Nephrotheca	ncbi:1641145	4727933	noinfo	null

Dicoma	gbif:3103338	=>	Dicoma	ncbi:130251	564574	same/primary-name	Dicoma
Dicoma	gbif:3103338	-	Macledium	ncbi:378880	846102	noinfo	null

Tragopogon vvedenskyi	gbif:8654356	=>	Tragopogon vvedenskyi	ncbi:1428984	9005079	same/primary-name	Tragopogon vvedenskyi
Tragopogon vvedenskyi	gbif:8654356	-	Tragopogon agrostiphyllus	ncbi:500721	1095803	noinfo	null

Tragopogon dubius	gbif:6443709	=>	Tragopogon dubius	ncbi:45322	462870	same/primary-name	Tragopogon dubius
Tragopogon dubius	gbif:6443709	-	Tragopogon major	ncbi:285201	471444	noinfo	null

Tragopogon angustifolius	gbif:5693421	=>	Tragopogon angustifolius	ncbi:425114	201429	same/primary-name	Tragopogon angustifolius
Tragopogon angustifolius	gbif:5693421	-	Saussurea viscida	ncbi:395318	775530	noinfo	null

Podocoma	gbif:5385927	=>	Podocoma	ncbi:72966	532474	same/primary-name	Podocoma
Podocoma	gbif:5385927	-	Inulopsis	ncbi:433489	917004	noinfo	null

Taraxacum erythrospermum	gbif:8158526	=>	Taraxacum erythrospermum	ncbi:268104	172884	same/primary-name	Taraxacum erythrospermum
Taraxacum erythrospermum	gbif:8158526	-	Taraxacum magellanicum	ncbi:511223	9003159	noinfo	null

Parthenium	gbif:3086782	=>	Parthenium	ncbi:35934	928426	same/primary-name	Parthenium
Parthenium	gbif:3086782	-	Villanova	ncbi:176588	59457	noinfo	null

Eriocephalus	gbif:3130098	=>	Eriocephalus	ncbi:99049	897118	same/primary-name	Eriocephalus
Eriocephalus	gbif:3130098	-	Microgyne	ncbi:433491	1085124	noinfo	null

Carphephorus	gbif:3112031	=>	Carphephorus	ncbi:102756	345520	same/primary-name	Carphephorus
Carphephorus	gbif:3112031	-	Trilisa	ncbi:102790	244813	noinfo	null

Jacobaea aquatica	gbif:5388597	=>	Jacobaea aquatica	ncbi:189230	117022	same/primary-name	Jacobaea aquatica
Jacobaea aquatica	gbif:5388597	-	Jacobaea aquatica var. aquatica	ncbi:209397	87714	noinfo	null

Waitzia	gbif:3121733	=>	Waitzia	ncbi:105497	803698	same/primary-name	Waitzia
Waitzia	gbif:3121733	-	Haptotrichion	ncbi:125708	399982	noinfo	null

Carphochaete	gbif:3143115	=>	Carphochaete	ncbi:558437	532618	same/primary-name	Carphochaete
Carphochaete	gbif:3143115	-	Revealia	ncbi:558441	251655	noinfo	null

Haplopappus	gbif:3100380	=>	Haplopappus	ncbi:71051	19541	same/primary-name	Haplopappus
Haplopappus	gbif:3100380	-	Tonestus	ncbi:71096	814499	noinfo	null

Dolomiaea	gbif:3086710	=>	Dolomiaea	ncbi:239140	912436	same/primary-name	Dolomiaea
Dolomiaea	gbif:3086710	-	Frolovia	ncbi:258782	947020	noinfo	null

Lessingia	gbif:3095709	=>	Lessingia	ncbi:71061	540719	same/primary-name	Lessingia
Lessingia	gbif:3095709	-	Corethrogyne	ncbi:604161	42660	noinfo	null

Angianthus	gbif:3118011	=>	Angianthus	ncbi:125651	1005556	same/primary-name	Angianthus
Angianthus	gbif:3118011	-	Pleuropappus	ncbi:125749	500385	noinfo	null

Filago	gbif:3115745	=>	Filago	ncbi:261771	422640	same/primary-name	Filago
Filago	gbif:3115745	-	Evacidium	ncbi:703221	994689	noinfo	null

Lasianthaea	gbif:3134317	=>	Lasianthaea	ncbi:183038	210209	same/primary-name	Lasianthaea
Lasianthaea	gbif:3134317	-	Lundellianthus	ncbi:183046	824808	noinfo	null

Rhaponticum	gbif:3142158	=>	Rhaponticum	ncbi:362626	436047	same/primary-name	Rhaponticum
Rhaponticum	gbif:3142158	-	Klaseopsis	ncbi:426695	248605	noinfo	null

Trichocline	gbif:3125962	=>	Trichocline	ncbi:496612	493998	same/primary-name	Trichocline
Trichocline	gbif:3125962	-	Amblysperma	ncbi:1542327	4727794	noinfo	null

Enceliopsis argophylla	gbif:8468250	=>	Enceliopsis argophylla	ncbi:191186	380849	same/primary-name	Enceliopsis argophylla
Enceliopsis argophylla	gbif:8468250	-	Helianthus argophyllus	ncbi:73275	769540	noinfo	null

Calycadenia	gbif:3092995	=>	Calycadenia	ncbi:17778	1098582	same/primary-name	Calycadenia
Calycadenia	gbif:3092995	-	Osmadenia	ncbi:28924	288120	noinfo	null

Centaurea argentea	gbif:8283154	=>	Centaurea argentea	ncbi:1006331	249341	same/primary-name	Centaurea argentea
Centaurea argentea	gbif:8283154	-	Centaurea ragusina	ncbi:1407815	9002962	noinfo	null

Centaurea nigra	gbif:7857746	=>	Centaurea nigra	ncbi:75633	717413	same/primary-name	Centaurea nigra
Centaurea nigra	gbif:7857746	-	Centaurea phrygia	ncbi:910632	888052	noinfo	null

Centaurea clementei	gbif:7738015	=>	Centaurea clementei	ncbi:41516	489653	same/primary-name	Centaurea clementei
Centaurea clementei	gbif:7738015	-	Centaurea ragusina	ncbi:1407815	9002962	noinfo	null

Xylanthemum rupestre	gbif:3150843	=>	Xylanthemum rupestre	ncbi:1115800	387988	same/primary-name	Xylanthemum rupestre
Xylanthemum rupestre	gbif:3150843	-	Chrysanthemum rupestre	ncbi:344873	452370	noinfo	null

Pericallis appendiculata	gbif:8641765	=>	Pericallis appendiculata	ncbi:109568	812712	same/primary-name	Pericallis appendiculata
Pericallis appendiculata	gbif:8641765	-	Pericallis appendiculata var. appendiculata	ncbi:1485957	9002312	noinfo	null

Nardophyllum	gbif:3101138	=>	Nardophyllum	ncbi:200661	778534	same/primary-name	Nardophyllum
Nardophyllum	gbif:3101138	-	Guynesomia	ncbi:381999	452989	noinfo	null

Artemisia minor	gbif:7551204	=>	Artemisia minor	ncbi:1227633	12091	same/primary-name	Artemisia minor
Artemisia minor	gbif:7551204	-	Artemisia melanolepis	ncbi:1287614	704369	noinfo	null

Artemisia alba	gbif:7476542	=>	Artemisia alba	ncbi:1227615	667087	same/primary-name	Artemisia alba
Artemisia alba	gbif:7476542	-	Artemisia rupestris	ncbi:86317	202544	noinfo	null

Artemisia laciniata	gbif:8592480	=>	Artemisia laciniata	ncbi:401909	821712	same/primary-name	Artemisia laciniata
Artemisia laciniata	gbif:8592480	-	Artemisia laciniatiformis	ncbi:401910	246987	noinfo	null

Artemisia borealis	gbif:6064327	=>	Artemisia borealis	ncbi:401879	367882	same/primary-name	Artemisia borealis
Artemisia borealis	gbif:6064327	-	Artemisia desertorum	ncbi:324798	730521	noinfo	null

Euchiton	gbif:3104933	=>	Euchiton	ncbi:90779	1053745	same/primary-name	Euchiton
Euchiton	gbif:3104933	-	Argyrotegium	ncbi:266087	397684	noinfo	null

Ozothamnus leptophyllus	gbif:3111878	=>	Ozothamnus leptophyllus	ncbi:59439	968345	same/primary-name	Ozothamnus leptophyllus
Ozothamnus leptophyllus	gbif:3111878	-	Ozothamnus vauvilliersii	ncbi:1205760	492953	noinfo	null

Jacmaia	gbif:3095480	=>	Jacmaia	ncbi:904441	1095959	same/primary-name	Jacmaia
Jacmaia	gbif:3095480	-	Jessea	ncbi:462455	668009	noinfo	null

Doronicum macrophyllum	gbif:8497170	=>	Doronicum macrophyllum	ncbi:118766	886069	same/primary-name	Doronicum macrophyllum
Doronicum macrophyllum	gbif:8497170	-	Doronicum austriacum	ncbi:118751	983882	noinfo	null

Calostephane	gbif:3139788	=>	Calostephane	ncbi:313925	756315	same/primary-name	Calostephane
Calostephane	gbif:3139788	-	Mollera	ncbi:313969	652988	noinfo	null

Gundlachia	gbif:3090910	=>	Gundlachia	ncbi:199514	991717	same/primary-name	Gundlachia
Gundlachia	gbif:3090910	-	Xylothamia	ncbi:199528	414850	noinfo	null

Madia	gbif:3140905	=>	Madia	ncbi:4253	364970	same/primary-name	Madia
Madia	gbif:3140905	-	Kyhosia	ncbi:219220	356207	noinfo	null

Crepis nicaeensis	gbif:7706146	=>	Crepis nicaeensis	ncbi:268024	589772	same/primary-name	Crepis nicaeensis
Crepis nicaeensis	gbif:7706146	-	Askellia flexuosa	ncbi:509657	385983	noinfo	null

Crepis sancta	gbif:8035432	=>	Crepis sancta	ncbi:268028	589716	same/primary-name	Crepis sancta
Crepis sancta	gbif:8035432	-	Crepis multicaulis	ncbi:509673	962921	noinfo	null

Symphyotrichum puniceum	gbif:3151576	=>	Symphyotrichum puniceum	ncbi:556914	316517	same/primary-name	Symphyotrichum puniceum
