name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Brachyandra	|	4727980	|	synonym	|	Brachyandra (synonym for Helogyne)	|	gbif:5393507	|	
Gazaniopsis	|	9006026	|	synonym	|	Gazaniopsis (synonym for Unident-Asteraceae)	|	gbif:7521723	|	
×Asterago T.H. Everett, 1937	|	9005972	|	synonym	|	×Asterago T.H. Everett, 1937 (synonym for Solidaster)	|	gbif:6446453	|	
Harpachaena	|	4727826	|	heterotypic synonym	|	Harpachaena (synonym for Acanthocephalus)	|	gbif:7884602	|	
Harpocarpus	|	4727826	|	heterotypic synonym	|	Harpocarpus (synonym for Acanthocephalus)	|	gbif:7884602	|	
Castanedia	|	9003052	|	synonym	|	Castanedia (synonym for Castenedia)	|	gbif:7335989	|	
Pentheriella	|	4727618	|	synonym	|	Pentheriella (synonym for Heteromma)	|	gbif:3088609	|	
Iodocephalis	|	4728107	|	synonym	|	Iodocephalis (synonym for Iodocephalus)	|	gbif:6064131	|	
Pollalesta	|	4728096	|	synonym	|	Pollalesta (synonym for Piptocoma)	|	gbif:3122102	|	
Piqueriopsis	|	4728217	|	synonym	|	Piqueriopsis (synonym for Microspermum)	|	gbif:3104566	|	
Iltisia	|	4728217	|	synonym	|	Iltisia (synonym for Microspermum)	|	gbif:3104566	|	
×Anthematricaria	|	4727684	|	synonym	|	×Anthematricaria (synonym for ×Anthemimatricaria P. Fournier, 1928)	|	gbif:3104073	|	
Guaicaia	|	4728181	|	synonym	|	Guaicaia (synonym for Glossarion)	|	gbif:3117538	|	
Glossanthis	|	4727833	|	synonym	|	Glossanthis (synonym for Pseudoglossanthis)	|	gbif:3134045	|	
Carpodetus forsteri	|	616823	|	synonym	|	Carpodetus forsteri (synonym for Carpodetus serratus)	|	gbif:3932516	|	
Carpodetus dentatus	|	616823	|	synonym	|	Carpodetus dentatus (synonym for Carpodetus serratus)	|	gbif:3932516	|	
Argyrocalymma arborea	|	711551	|	synonym	|	Argyrocalymma arborea (synonym for Carpodetus arboreus)	|	gbif:3932669	|	
Argyrocalymma denticulatum	|	9007221	|	synonym	|	Argyrocalymma denticulatum (synonym for Carpodetus denticulatus)	|	gbif:3932635	|	
Argyrocalymma montanum	|	9007226	|	synonym	|	Argyrocalymma montanum (synonym for Carpodetus montanus)	|	gbif:3932556	|	
Argyrocalymma flexuosum	|	9007222	|	synonym	|	Argyrocalymma flexuosum (synonym for Carpodetus flexuosus)	|	gbif:3932622	|	
Brachynema ornans	|	396446	|	synonym	|	Brachynema ornans (synonym for Abrophyllum ornans)	|	gbif:7278650	|	
Brachynema	|	9007218	|	synonym	|	Brachynema (synonym for Abrophyllum f.)	|	gbif:8679153	|	
Limnanthemum gunnii	|	380455	|	synonym	|	Limnanthemum gunnii (synonym for Liparophyllum gunnii)	|	gbif:3825744	|	
Liparophyllum exaltatum	|	855864	|	synonym	|	Liparophyllum exaltatum (synonym for Villarsia exaltata)	|	gbif:7662598	|	
Renealmia exaltata	|	855864	|	synonym	|	Renealmia exaltata (synonym for Villarsia exaltata)	|	gbif:7662598	|	
Menyanthes exaltata	|	855864	|	synonym	|	Menyanthes exaltata (synonym for Villarsia exaltata)	|	gbif:7662598	|	
Limnanthemum exaltatum	|	855864	|	synonym	|	Limnanthemum exaltatum (synonym for Villarsia exaltata)	|	gbif:7662598	|	
