source_name	source_qid	parity	target_name	target_qid	target_uid	reason	witness	
Abrophyllum ornans	ncbi:49579	=>	Abrophyllum ornans	ncbi:49579	396446	new/tip	null
Abrophyllum ornans	gbif:7278650	=>	Abrophyllum ornans	ncbi:49579	396446	same/parent+parent	Rousseaceae|Rousseaceae
Abrophyllum ornans	ott:396446	=>	Abrophyllum ornans	ncbi:49579	396446	same/parent+parent	Rousseaceae|Rousseaceae
Scorzonera intricata	ncbi:1194694	=>	Scorzonera intricata	ncbi:1194694	359947	new/tip	null
Coronidium	ncbi:1231642	=>	Coronidium	ncbi:1231642	4727502	new/import	null
Coronidium	ott:4727502	-		null	-	not-deprecated/exposed	null
Launaea	ncbi:43198	=>	Launaea	ncbi:43198	735692	new/import	null
Zollikoferia	ott:4727735	-	Launaea	ncbi:43198	735692	noinfo	null
Zollikoferia	ott:4727735	-	Chondrilla	ncbi:75962	155222	noinfo	null
Zollikoferia	ott:4727735	=>	Zollikoferia	gbif:3095942	4727735	same/primary-name	Zollikoferia
Launaea	ott:735692	=>	Launaea	ncbi:43198	735692	same/parent+parent	Hyoseridinae|Hyoseridinae
Hexinia	ott:756172	-	Launaea	ncbi:43198	735692	noinfo/disjoint	|Hexinia polydichotoma
Hexinia	ott:756172	=>	Hexinia	ncbi:996390	756172	same/is-subsumed-by	null
Tanacetum vulgare	ncbi:128002	=>	Tanacetum vulgare	ncbi:128002	602516	new/tip	null
Amphidoxa	gbif:8392198	=>	Amphidoxa	gbif:8392198	4727846	new/tip	null
Amphidoxa	ott:4727846	-		null	-	continued-hidden	null
Othonna	ncbi:109566	=>	Othonna	ncbi:109566	518548	new/import	null
Doria	ott:4728047	-	Othonna	ncbi:109566	518548	noinfo	null
Doria	ott:4728047	=>	Doria	gbif:5405789	4728047	same/primary-name	Doria
Hertia	ott:41021	-	Othonna	ncbi:109566	518548	noinfo/disjoint	|Hertia maroccana
Hertia	ott:41021	=>	Hertia	ncbi:379124	41021	same/is-subsumed-by	null
Othonna	ott:518548	=>	Othonna	ncbi:109566	518548	same/parent+parent	Othonninae|Othonninae
Galatella altaica	ncbi:1591269	=>	Galatella altaica	ncbi:1591269	9000406	new/tip	null
Heteropappus altaicus	ott:4727773	-	Galatella altaica	ncbi:1591269	9000406	noinfo	null
Heteropappus altaicus	ott:4727773	-	Aster altaicus	ncbi:983245	820265	noinfo	null
Heteropappus altaicus	ott:4727773	-		null	-	ambiguous tip	2
		-	Galatella altaica	ncbi:1591269	9000406	addition	null
Heteropappus altaicus	ott:4727773	-		null	-	id-retired/incompatible-use	null
Sonchus heterophyllus	ncbi:50222	=>	Sonchus heterophyllus	ncbi:50222	451172	new/tip	null
Lactucosonchus webbii	ott:735686	-	Sonchus heterophyllus	ncbi:50222	451172	noinfo	null
Lactucosonchus webbii	ott:735686	=>	Sonchus webbii	ncbi:43197	735686	same/source-id	null
Lobelia dunnii	ncbi:104596	=>	Lobelia dunnii	ncbi:104596	149506	new/tip	null
Palmerella debilis	gbif:5413081	-	Lobelia dunnii	ncbi:104596	149506	noinfo	null
Palmerella debilis	gbif:5413081	=>	Palmerella debilis	ncbi:252779	958529	same/primary-name	Palmerella debilis
Palmerella debilis	ott:958529	-	Lobelia dunnii	ncbi:104596	149506	noinfo	null
Palmerella debilis	ott:958529	=>	Palmerella debilis	ncbi:252779	958529	same/primary-name	Palmerella debilis
Heteropappus	ncbi:616993	=>	Heteropappus	ncbi:616993	4727772	new/import	null
Artemisia araxina	ncbi:72334	=>	Artemisia araxina	ncbi:72334	119271	new/tip	null
Picrothamnus desertorum	ncbi:333959	=>	Picrothamnus desertorum	ncbi:333959	274419	new/tip	null
Lundellianthus	ncbi:183046	=>	Lundellianthus	ncbi:183046	824808	new/import	null
Lasianthaea	gbif:3134317	-	Lundellianthus	ncbi:183046	824808	noinfo	null
Lasianthaea	gbif:3134317	=>	Lasianthaea	ncbi:183038	210209	same/primary-name	Lasianthaea
Lactuca dregeana	ncbi:75944	=>	Lactuca dregeana	ncbi:75944	104471	new/tip	null
Lactuca sativa	ott:515700	-	Lactuca dregeana	ncbi:75944	104471	noinfo/target-no-children	null
Lactuca sativa	ott:515700	=>	Lactuca sativa	ncbi:4236	515700	same/is-subsumed-by	null
Aetheorhiza	ncbi:43187	=>	Aetheorhiza	ncbi:43187	9004851	new/tip	null
		-	Aetheorhiza	ncbi:43187	9004851	addition	null
Monoculus	gbif:3125877	=>	Monoculus	gbif:3125877	4727668	new/tip	null
Monoculus	ott:4727668	-		null	-	continued-hidden	null
Lactuca sativa	ncbi:4236	=>	Lactuca sativa	ncbi:4236	515700	new/import	null
Lactuca dregeana	ott:104471	-	Lactuca sativa	ncbi:4236	515700	noinfo	null
Lactuca dregeana	ott:104471	=>	Lactuca dregeana	ncbi:75944	104471	same/primary-name	Lactuca dregeana
Lactuca sativa var. capitata	ott:5265162	-	Lactuca sativa	ncbi:4236	515700	noinfo	null
Lactuca sativa var. capitata	ott:5265162	=>	Lactuca sativa var. capitata	ncbi:1049369	5265162	same/primary-name	Lactuca sativa var. capitata
