id	size	name	sourceinfo	reason	witness	replacement	status
3894749	1	Cirsium canalense	gbif:3113190	id-retired/name-retired		*		
3894741	1	Cirsium hakkaricum	gbif:3112847	id-retired/name-retired		*		
3894742	1	Cirsium dyris	gbif:3112845	id-retired/name-retired		*		
3894743	1	Cirsium pulcherrimum	gbif:3113782	id-retired/name-retired		*		
3894734	1	Cirsium perplexans	gbif:3112931	id-retired/name-retired		*		
3894736	1	Cirsium grecescui	gbif:3113221	id-retired/name-retired		*		
3894738	1	Cirsium ownbeyi	gbif:3113149	id-retired/name-retired		*		
787025	6	Peripleura	ncbi:119780,gbif:3137757	newly-hidden[barren]	Peripleura	=		
3894739	1	Cirsium morisianum	gbif:3113528	id-retired/name-retired		*		
3894730	1	Cirsium davisianum	gbif:3113540	id-retired/name-retired		*		
3894732	1	Cirsium heterotrichum	gbif:3112936	id-retired/name-retired		*		
3894733	1	Cirsium subinerme	gbif:3113555	id-retired/name-retired		*		
3894767	1	Cirsium strigosum	gbif:3112813	lumped		597707		
3894768	1	Cirsium ellenbergii	gbif:3113693	id-retired/name-retired		*		
3894760	1	Cirsium czerkessicum	gbif:3112879	id-retired/name-retired		*		
3894761	1	Cirsium alsophilum	gbif:3113506	id-retired/name-retired		*		
3894762	1	Cirsium buschianum	gbif:3113502	id-retired/name-retired		*		
3894764	1	Cirsium poluninii	gbif:3112611	id-retired/name-retired		*		
3894766	1	Cirsium kirbense	gbif:3113632	id-retired/name-retired		*		
3894756	1	Cirsium steirolepis	gbif:3112614	id-retired/name-retired		*		
3894757	1	Cirsium chlorocomos	gbif:3112877	id-retired/name-retired		*		
3894758	1	Cirsium adjaricum	gbif:3112560	id-retired/name-retired		*		
3894759	1	Cirsium longistylum	gbif:3113503	id-retired/name-retired		*		
3894750	1	Cirsium boluense	gbif:6076635	id-retired/name-retired		*		
3894751	1	Cirsium vallis-demonis	gbif:6076637	id-retired/name-retired		*		
3894752	1	Cirsium eliasianum	gbif:3113767	id-retired/name-retired		*		
3894753	1	Cirsium cilicicum	gbif:3113766	id-retired/name-retired		*		
3894754	1	Cirsium dirmilense	gbif:3113765	id-retired/name-retired		*		
3894755	1	Cirsium clavatum	gbif:3112615	id-retired/name-retired		*		
3894701	1	Cirsium morinifolium	gbif:3113403	id-retired/name-retired		*		
3894702	1	Cirsium macrobotrys	gbif:3113360	id-retired/name-retired		*		
